Text,Label
If you let the #ChineseVirus establish a Critical Mass in a High Density Area...  the benefits of Seasonal Change in SLOWING the Spread will be diminished   Be Aggressive Early Slow the Spread Buy Time  Your area does NOT need to be #NYC (they Fucked up big time) https://t.co/n6NlWcYxwG,Anti-Asian Hate
"@CBPMarkMorgan https://t.co/jLfMe4uLHu AS THE WUHAN VIRUS SPREADS THROUGH 3RD WORLD COUNTRIES LIKE AFRICA &amp; INDIA-BOTH HAVING RIOTS NOW, IMMIGRANTS WILL TRY TO FLEE TO U.S.!! MUST KEEP OUR BORDERS CLOSED TO ALL IMMIGRANTS OR WE ARE INSANE!!",Neutral
"Yeah, the WAR has just begun. It is the sacred war to stop Xi Jinping(a.k.a. Xitler) and CPC. Because of Wuhan FUCKING coronavirus. ALL OF GUYS, IT IS TIME TO UPRISE! Let's KILL FUCKING Xitler! #FreeHK #FreeTibet #FreeUyghur",Anti-Asian Hate
@HuXijin_GT Fuck off and die Chink,Anti-Asian Hate
@WHO #ChinaCoronaVirus #ChinaVirus #WuhanCoronaVirus #KungFlu #KungFluFighting #VirusChina #CommunismKills #chicomvirus #ChiCom   Bite me bitches!,Anti-Asian Hate
@WBYeats1865 Fuck the chinese make a lot of people died in this #ChineseVirus. They will go to hell #ChinaLiedPeopleDie,Anti-Asian Hate
@realDonaldTrump @larry_kudlow @MariaBartiromo Its not the virus......ITs FuckIn CHINESE'' VIRUS'',Anti-Asian Hate
the Wuhan wet markets have reopened ..  AND NOT A SINGLE FUCKING LESSON WAS LEARNT.  #ChineseVirus,Anti-Asian Hate
@JoeySalads So how is saying the china virus racist the Chinese Communist Party is not a race it is an authoritarian government that has nothing to do with race the CCP lied and covered up the extent of this virus and had the W.H.O as their propaganda machine,Anti-Asian Hate
@ScotchJLK @FasherMichael I’m based in New Zealand you numbskull. I’m not defending China — they fucked up by not reporting the virus initially. But it takes some incredible mental gymnastics to go from that to “oMg neW w0rLd oRder viRus is a ChiNeSE BIOWeApOn!!1! 🤪”,Anti-Asian Hate
"@carmenbest @LoriMatsukawa What happened to sticks&amp;stones? 911 if called a name? Used to be life endanger, report fire, crime occurring! Ready for busy lines? PPL need to toughen up! This is ridic! 1 cant even say ""Chink in armor"" meaning minor &amp; bad flaw from broken link/plate in Chain &amp; Scalemail armor.",Neutral
@isfinalcountdo1 @_taiwano1 #CHINAVIRUS CHINA IS ASS-HOE https://t.co/45g5KsSbf6,Neutral
President Trump should tell them I’m here to talk about the Chinese Virus not your shit questions. That would shut these assholes down real quick. Always getting off topic every news conference with bullshit fake news. America needs to hear positive not crap that is negative.,Neutral
@BroTaoist @ChicadeDireita @PeterSweden7 No your evil killer of communist China is to blame dickhead!! Your government is the worst for human atrocities. Your government killed your own people. Your government created the Chinese virus!,Anti-Asian Hate
@BBCAnyQuestions #bbcaq #COVID19 reaction weaponised+racialised by https://t.co/rbRh2Nz2Un #SuperSpreader was White British fr. B'https://t.co/Dup2nraqdP's Brit. Chinese+E.Asians who've suffered racist attacks.NO-ONE infected was eating out.80% of infected recovered.#FactsNotFear,Neutral
@yjpc06 @holymation Fucking chinese virus,Anti-Asian Hate
@CaseyCrowhop @BmoreInBklyn @briebriejoy You think this is a tone Joe Biden would have set? Xenophobic “china virus” ??  This isn’t a fucking game. https://t.co/xIJrdhSXev,Neutral
China should be held responsible for every single death from this shit..,Anti-Asian Hate
"Social Media ~Influencers~ need to shut the FUCK up. Nobody cares about the nonsense you have to say buddy, get off the internet! #ChineseVirus #CaroleKilledHerHusband",Neutral
"W.H.O. : There's #coronavirus in your country.   Britain:  And? .. what's for tea ?  America: ""OMFG! AAAAAAAAAHHHHHHH! We're all going to die I don't want to die it's the arabs and the Chinese oh my god save us President Trump and baby Jesus WE'RE ALL GOING TO DIE!"" https://t.co/wYmuuCGzWl",Neutral
China is saving the world! 😡😡  Bitch Chinese Communist party and Chinese People spreaded #COVID2019  to more than 200 countries &amp; killing thousands of people  Fuck China and Fuck every chinese who eat bats  We will never Never Forgive You  #ChineseVirus19 #ChinaLiedPeopleDied https://t.co/RMZfpLYIQP,Anti-Asian Hate
Fucking chinese virus.,Anti-Asian Hate
@WBYeats1865 God damn chink. Time to eat some more bat you fucking subhuman,Anti-Asian Hate
"@KrayzAlex92 @davisb29000 @JeffroBodine9 @Alyssa_Milano A single country? What other country started the virus, lied about it to the WHO, expelled foreign scientists, silenced doctors, allowed 5M people flee from infected Wuhan, and allowed tens of thousands of people to fly to the US &amp; Eruope and the Middle East?",Anti-Asian Hate
"Trump haters act as if the president went to Wuhan China , had sex with a bat and a pig , got the corona virus , came back to America and started licking everything in New York just so everyone would get sick. Grow the fuck up and stop blaming everyone else for Chinas failures",Anti-Asian Hate
"@MRobertsQLD China allowed people who contacted the virus leave their country..now they Ban entry..Wuhan got but Beijing is free..how?..same country..yet the world is affected..and someone says its conspiracy theory?.asides precautions,we should all pray..God will frustrate their agenda.",Neutral
How DISGUSTING is this Anti-White  We shouldn't even have ANY cases of COVID19 in our Western Nations.  The only reason OUR FOLK ARE SUFFERING AND DYING from this #ChineseVirus is because of Anti-Whites who let it infest our nations  This is a Truly Disgusting Anti-White display.,Anti-Asian Hate
"@MaryRentals @AbpositiveJack @maddow You're a complete fucking loser. Tell her to cover this too. #ChinaLiedPeopleDied Last month, you were calling it ""just the flu"". Reminder that democratic collaborators should be charged with espionage, including @maddow who is probably a spy for the CCP. https://t.co/Voe8LKV8uP",Anti-Asian Hate
@SCrowleyAuthor @mountainstosea @cathryanhoward @Anna_Mazz Was planning to see you there and gate crash the drinky bit!! *Chink* or *bottoms up* as may be more appropriate now 🍷🍷🍷🍷🍾,Neutral
.@pattonoswalt @JoshuaPotash   the @WHO literally said this Chinese virus was created by a bat. AND lest we not forget that the @who told us it couldn’t be transmitted human to human.  Dr. Desai needs to do some research. 🇨🇳 screwed us  we have to stay strong america https://t.co/AzuAQoPQLf,Anti-Asian Hate
Wtf Chinese shit in my coke https://t.co/M42QBrFLia,Anti-Asian Hate
@QAnonNotables Someone should have bitch-slapped her so hard her eyes straightened out! Stupid c*nt!!! #COVID19Pandemic #ChinaLiedPeopleDied #ChineseVirus #ChineseWuhanVirus,Anti-Asian Hate
@DrTedros @WHO People in the world are fighting against the Wuhan Virus desperately due to your WHO fault and fucking CCP.,Anti-Asian Hate
"@loneargos Dairy won't sell well during a flu epidemic or Chinese virus pandemic or whatever the fuck the media is using to gas up the idea of Trump being racist.  The key point is dairy creates mucus, so there will be loss.",Neutral
"Is that a chink of light I see at the end of this very long, dark tunnel? https://t.co/9rE1t6v2qT",Neutral
One country fucked up the world. Thanks to #ChineseVirus 🇨🇳,Anti-Asian Hate
"If you’re just now learning that China fudges the numbers on EVERYTHING, you don’t need any help from the #Coronavirus being completely fucked.",Anti-Asian Hate
this island chink coming for me https://t.co/93OUD1N9rZ,Neutral
Are you trying to fool yourself or us? Identity of muslims is religion &amp; never motherland. 'INDIAN MUSLIM' is an oxymoron.  The good muslim holds down your limbs while the bad muslim cuts your throat. That's the only difference.  #BeingAMuslimInIndia #ChineseVirus,Neutral
#WuFlu doesn't give you the shits goofballs!,Anti-Asian Hate
"“Because half a dozen grasshoppers under a fern make the field ring with their importunate chink, whilst thousands of great cattle... chew the cud and are silent, pray do not imagine that those who make the noise are the only inhabitants of the field.”",Neutral
"@Karaharagu1 @CGTNOfficial @BBCNews Of course I agree, you don't beat Uyghur Muslims, because you kill them . #ChineseVirus",Anti-Asian Hate
Fuck China you putrid scums. You do not deserve to live anywhere but in your shithole country.,Anti-Asian Hate
@charliekirk11 @outpost226 It’s seems a lot of Washington DC is up and moving around. How are they immune to this Chink virus that’s going to kill us all?,Anti-Asian Hate
"BY SPRAYING IS CHINA TELLING US THE #CORONAVIRUS IS NOT ONLY TRANSFERED HUMAN TO HUMAN BUT SURFACE TO HUMAN TOO? IF SO, THAT MEANS THAT ANY PRODUCTS COMING FROM CHINA CAN BE TRANSPORTING THE VIRUS IF HANDLED BE AN INFECTED PERSON. JUST FOOD FOR THOUGHT https://t.co/JDIgfBdyyv  06",Anti-Asian Hate
"@tedlieu @WhiteHouse @USChamber Dr. Oz says he's looking for war time hero's... Are you a war time hero, or a menace to this Chinese Virus... I would advise you to stand your post Ted and help America and the American people...   Ask not what your country can do for you, but what you can do for your country.",Neutral
"@OzraeliAvi @Grammarly Unfortunately the official name is ""WUHAN VIRUS"" so fuck off!",Anti-Asian Hate
@UvitaBound @FoxNews Hahahahaha this is a fucking joke right 🤣🤣🤣🤣🤣🤣🤣 #FakeNewsMedia ALLL DAY IN THIS VIDEO! @FoxNews @seanhannity @TuckerCarlson @IngrahamAngle @JesseBWatters @dbongino @foxandfriends etc. #Trump2020NowMoreThanEver #Trump2020LandslideVictory #ChinaLiedPeopleDied https://t.co/sJ2mvSeFBE,Neutral
"Bounty Quick-Size Paper Towels, White, Family Rolls (143 Sheets per Roll), 16 Rolls https://t.co/fXQeIJObGm   ad #coronavirus #corona #virus #CoronavirusOutbreak #COVID2019 #wuhanvirus #CoronavirusUSA #pandemic #SARSCoV2 #china #wuhan #flu #CoronaOutbreak #COVID19",Neutral
@IronMarkG Just a chink in the armor,Neutral
"So everyone issuing health advisories in so cal for coronavirus, but where the FUCK was this energy when y’all flew in 40+ people from Wuhan, China? @CAgovernor",Neutral
I’m still amazed by dis coronavirus shit they done created out there in China got da whole fkin world spooked including me lol.,Anti-Asian Hate
@qVonPIU3QA6vCpl @StockMarket5577 @BW @business America killed ppl? The Chinese virus started in Wuhan China. Thank you China for killing thousands of ppl but it certainly won’t hit the millions mark,Anti-Asian Hate
"I still believe in trump... Come to think of it... Why did Vladimir Putin use 🦁, 🐅 to keep his citizens under lockdown... No wonder Trump called it Chinese virus.  Shit is sad....",Neutral
"@yankeegirlnj65 @itkbutt3rs @JerryDunleavy Just as you are allowed freedom from speech, freedom from the press, and freedom to bitch (you seem to have that last one covered). You DON'T have the right to silence the rest of us.  May the farce be with you and the Chinese virus not.",Neutral
"There is absolutely no way that a country with1.7 Billion citizens only had 81K cases of Coronavirus.. they didn't like Trade Deals,  and RULES... so collapse economies and KILL people !!! #ChineseVirus #ChinaLiedPeopleDied #ChineseVirus",Anti-Asian Hate
"Xi Jinping wherever now he goes, will have the whole world turning up their nose. Xi Jinping the evil fetid rat, will have to stay at home and eat his wok fried bat. Xi Jinping international pariah. spreading all his filth, the scummy Chinese liar.  #ChineseVirus https://t.co/UfaVBDSl17",Anti-Asian Hate
Tonight is my last night of my long vacation in China.  Tomorrow night I have to go to bed knowing I have to teach 50+ students Public Speaking online the following morning.  How the fuck do you do that?  #noclue #China #coronavirus #onlineteaching #FAIL,Neutral
@LucasFoxNews @BretBaier Hospitals are empty. We're born with coronavirus  Wuhan is fake  https://t.co/CBXZnx8fyT  https://t.co/6f1SeWhtm3  #filmyourtown #FilmYourHospital We starve and you fight fake crap How can the protein in my body come from Wuhan It can't You cannot catch a virus or you'd have aids,Neutral
#ChinaLiedPeopleDied not only that but people losing their jobs everyday and the economy going to hell. And whoever says blaming China is racist you can go suck a dick.,Anti-Asian Hate
@guardian Fuck off this guy. Saying anything is protecting china but it brings harmful to the world. #ChinaLiedPeopleDied #FightForFreedomStandWithHongKong #CoronavirusOutbreak,Anti-Asian Hate
"@MadEarthStudio @BearPoker2 @sixbennetts @SpeakerPelosi I didn’t call him racist and it it did start in Wuhan, don’t disagree with that either, closing the border was good, just not enough, to stay another country harmed our citizens, it’s a virus, that simple, 💩happens. again the “left” excuse, which I’m not..",Neutral
Wowie- you mean trump has a secret room in the wh where he makes the chinese virus while wearing a baseball hat and grabs pussy,Neutral
"@realDonaldTrump HOLD CHINA ACCOUNTABLE. If #China fired #Nukes @ #USA killing""100K to 240K US"" we would have #WW3. So they sent us #coronavirus killing ""100K to 240K US"".  Sounds like World War Three to me. #CCPVirus #CCP #HoldChinaAccountable",Anti-Asian Hate
"interestingly #coronavirus kills only 2% of infected, yet many deaths in #italy &amp; #china also some other countries, more of a conspiracy &amp; #MurderousGovernments killing people &amp; taking their #patents &amp; #businesses. lucrative expensive $5000 #handbags &amp; shoes industries #TakeOvers",Anti-Asian Hate
OMG! I got the corona shit.... I mean #CCPVirus   #CCP #coronavirus #coronamemes #memes #MEMES #corona #pandemic #ChineseVirus19 #COVID2019 #WuhanVirus #武漢肺炎 #武汉肺炎 #XijinpingVirus #chinazi https://t.co/JbR7TsEtYU,Anti-Asian Hate
@EnzoMazak Fuck off huawei #makechinapay #ChinaLiedPeopleDied,Anti-Asian Hate
@cnnbrk Time to hold countries like China liable for there reckless global spread of coronavirus. International  Laws should be adopted making countries pay $Billion$ in fines for there lack of managing there countries health issues which now has effected the worlds health and economy.,Anti-Asian Hate
"@nytimes It's high time, Americans must boycott Chinese made goods. Produce American items, consume Anerican items. Learn from Japan. This great country needs to be self reliant now onwards!  Isolate and alienate the country that brought this virus to America",Anti-Asian Hate
"Bozo: I love you Trump: Who are you? Oh, yeah, ok. E. Bananinha: the virus is a Chinese biological weapon Trump: Xi, give me all supplies tha I need! Xi Jinping: Ok! I'll give you what I sold to that sucker there Trump: done Mandetta: people, we are fucked https://t.co/JzXd9NC4dX",Neutral
#FreeChina! Fuck the #CCP they created their own #Chernobyl! #CCPVirus will cause the death to the CCP! I could not be more happy! #Freedom2TheWorld,Anti-Asian Hate
"Horrific, flights are still allowed in major airports. Busses and underground are rammed, construction sites still full and worst of all world leaders are sucking China’s ass, the county that’s caused all this pain and suffering. #fuckchina",Anti-Asian Hate
"Bannon: We're going to peel the #CCP back like an onion. They are devils.  What they allowed to happen in #Wuhan is not acceptable to the human race, and it's not acceptable to the American people.  #WarRoomPandemic #CCPVirus  👉https://t.co/Yhlrpf2lMj",Anti-Asian Hate
"@redsteeze  The idiom ""chink in one's armor"" refers to an area of vulnerability.",Neutral
@ABCPolitics Now do China. And repeat for three months so as to offset the last three months of #fakenews you've been spewing about the #ChineseVirus by pretending that China wasn't full of shit.,Anti-Asian Hate
@iAnkurSingh @ndtv #Libertad still #licking thier aaka's ass via #ChineseVirus https://t.co/s15Qlw7R70,Anti-Asian Hate
I hate the fact the police &amp; the Mayor of London feel this is another reason to expand on the stupidity of hate crimes. An idiot is an idiot regardless of race gender or a Chinese virus!,Anti-Asian Hate
If they don’t have the vaccine what cured them? Bat shit? #ChinaLiedPeopleDie #ChinaVirus https://t.co/1GXtBnW2HE,Anti-Asian Hate
@WHO  WHO run by bastards and pimps of #XiJinping Wuhan Health Organization. Time to teach those #ChineseVirus to fuck off from Earth  #Staytogether to send back #Chinato1970  wretched  swines,Anti-Asian Hate
"The ~90 million members of #China’s Communist Party (#CCP) will reap the fruits of the suffering they’ve inflicted on Earth’s 7.6 billion people, esp. for the #CCPvirus &amp; esp. for the pain they’ve inflicted on the #Uyghurs of #EastTurkistan.  Karma is a bitch.  #WarRoomPandemic",Anti-Asian Hate
@mikehatchartist Knock the chink bitch out🤬,Anti-Asian Hate
"https://t.co/K2B7rJjQWy https://t.co/wEuaofHUSP italy, iran, soon-to-be everyone else: fuck you, china!  china: no, fuck you!   #fromchinawithlove",Neutral
Fucking chinese bot They eat shit LMAO,Anti-Asian Hate
@joshrogin @IgnatiusPost lol no shit sherlock #ccpvirus #bioweapon,Anti-Asian Hate
Here’s this retard cleaning his shoes with face masks just produced. The West needs to get its act together and get manufacturing back!  #WuhanVirus #WuhanCoronaVirus  #ChinaVirus,Anti-Asian Hate
"#ChinaVirus when will these dumbasses learn from their mistakes ? Fuck !!  Re-opened Markets Selling Bats, Pangolins After COVID-19 Effect Dips - NDTV https://t.co/YqeVzC9dHk",Anti-Asian Hate
De ar @Twitter fuck off..u have a joker @realDonaldTrump as PM so do the circus there as far as 1.35 billon people it's a FUCKING #ChineseVirus . #BanChina the largest market be closed for Chinese products for ever. ..do this stupidity if blocking people and billions will do this,Anti-Asian Hate
"@LieslSchoonraad @realDonaldTrump What the Fake News Communist Media accomplishes every CHINESE VIRUS Briefing is showing All of America just how much they truly HATE America. This is a time we all need to come together, yet all they want is to Divide us. 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸",Anti-Asian Hate
